name,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g
白米饭,116,2.6,25.9,0.3
鸡胸肉,165,31,0,3.6
西兰花,34,2.8,7,0.4
牛奶,54,3,5,3.2
苹果,52,0.3,14,0.2
香蕉,89,1.1,23,0.3
